name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,33,30420488,,retail,,,,"POLYGON ((-111.930527 33.4229058, -111.9304816 33.4228867, -111.9305293 33.4227912, -111.9305572 33.422744, -111.9306814 33.4227912, -111.9306643 33.422827, -111.93069 33.4228414, -111.9306471 33.422913, -111.9306214 33.4228987, -111.9305956 33.4229345, -111.930527 33.4229058))","POINT (-111.93058813937228 33.42284185769197)",,
Whiteman Tennis Center,34,30420682,,,,sports_centre,,"POLYGON ((-111.9275348 33.424697, -111.9267429 33.4246927, -111.9267418 33.4254417, -111.9275315 33.4254417, -111.9275348 33.424697))","POINT (-111.92713737162353 33.42506809983012)",,
RPF,35,30420690,,yes,,,,"POLYGON ((-111.9276011 33.4246792, -111.9276429 33.4246796, -111.9276431 33.4246646, -111.9277398 33.4246654, -111.9277392 33.4247234, -111.9277494 33.4247234, -111.9277471 33.4249233, -111.9277382 33.4249233, -111.9277374 33.4249924, -111.9276421 33.4249916, -111.9276425 33.4249567, -111.927598 33.4249563, -111.9275984 33.4249196, -111.9275778 33.4249194, -111.92758 33.4247285, -111.9276005 33.4247286, -111.9276011 33.4246792))","POINT (-111.9276676955351 33.42482538402904)",,
Sun Devil Sports Performance,36,30420981,,yes,,,,"POLYGON ((-111.9242956 33.4241738, -111.9232597 33.4241681, -111.9232657 33.4244102, -111.9236433 33.4244102, -111.9242956 33.4244102, -111.9242956 33.4241738))","POINT (-111.92377710376076 33.42429045491889)",,
,37,30421041,,,,swimming_pool,,"POLYGON ((-111.9231541 33.4244102, -111.9232657 33.4244102, -111.9236433 33.4244102, -111.9236433 33.4246251, -111.9231541 33.4246251, -111.9231541 33.4244102))","POINT (-111.92339870000002 33.42451764999999)",,
Verde Dickey Dome,38,30421119,,yes,,pitch,,"POLYGON ((-111.9242815 33.4246323, -111.9257665 33.4246323, -111.9257665 33.4253629, -111.9246155 33.4253629, -111.9242815 33.4253629, -111.9242815 33.4246323))","POINT (-111.92502400000001 33.424997600000005)",,
Soccer Stadium,39,30421137,,,,pitch,,"POLYGON ((-111.9223215 33.4251051, -111.9215319 33.4251051, -111.9215319 33.424052, -111.9223215 33.424052, -111.9223215 33.4251051))","POINT (-111.92192669999999 33.42457855000001)",,
ALBER,40,30421182,,yes,,,,"POLYGON ((-111.9231455 33.42532, -111.9234459 33.42532, -111.9234974 33.4253558, -111.9234974 33.4256137, -111.9235661 33.4256137, -111.9235661 33.425714, -111.923712 33.425714, -111.923712 33.4252985, -111.9237549 33.4252412, -111.9237463 33.4252054, -111.9237292 33.4251695, -111.9236862 33.4251337, -111.9236347 33.4251194, -111.9235833 33.4251122, -111.9235489 33.425148, -111.9231455 33.425148, -111.9231455 33.42532))","POINT (-111.92351594574177 33.425346915333144)",,
,41,65200245,,,parking,,,"POLYGON ((-111.9352129 33.4163627, -111.9352057 33.4162623, -111.9352783 33.416256, -111.935276 33.4161895, -111.9356929 33.4161863, -111.9359512 33.4161941, -111.9360537 33.4162072, -111.9361859 33.4162446, -111.936167 33.4162925, -111.9362587 33.416379, -111.9361908 33.4164202, -111.9361281 33.4163569, -111.9361052 33.4164068, -111.9360322 33.4163868, -111.9359573 33.4163728, -111.9359044 33.4163683, -111.9358064 33.416368, -111.9358063 33.4163528, -111.9356971 33.4163511, -111.9356977 33.4162856, -111.9354213 33.4162866, -111.9354227 33.416345, -111.9353222 33.4163466, -111.9352129 33.4163627))","POINT (-111.93574899459794 33.41627836026332)",,
,42,136876992,,,,,,"POLYGON ((-111.9266039 33.4203962, -111.9269812 33.4207248, -111.9273474 33.4210534, -111.9266039 33.4203962))","POINT (-111.9269775 33.420724799999995)",,
