node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
3611,,-111.9327526,33.4144497,156,1,
3612,,-111.9327542,33.4145118,156,1,
3613,,-111.9327557,33.4145739,156,1,
3614,,-111.9148429,33.4322533,157,1,
3615,,-111.9148231,33.4322303,157,1,
3616,,-111.9147473,33.4322641,158,1,
3617,,-111.9147852,33.4323042,158,1,
3618,,-111.9146524,33.4322148,159,1,
3619,,-111.9146057,33.4322618,159,1,
3620,,-111.9145925,33.4323216,159,1,
3621,,-111.9146202,33.4323782,159,1,
3622,,-111.9146785,33.4324143,159,1,
3623,,-111.9147512,33.4324212,159,1,
3624,,-111.9148164,33.4323933,159,1,
3625,,-111.9147297,33.4323586,160,1,
3626,,-111.9146798,33.4323393,160,1,
3627,,-111.9146706,33.4322939,160,1,
3628,,-111.9290824,33.4242202,161,1,
3629,,-111.929055,33.4241619,161,1,
3630,,-111.9290277,33.4241036,161,1,
3631,,-111.9290004,33.4240452,161,1,
3632,,-111.9289731,33.4239869,161,1,
3633,,-111.9289458,33.4239286,161,1,
3634,,-111.9289185,33.4238703,161,1,
3635,,-111.9288912,33.423812,161,1,
3636,,-111.9288639,33.4237536,161,1,
3637,,-111.9288366,33.4236953,161,1,
3638,,-111.9288094,33.423637,161,1,
3639,,-111.9287798,33.4235795,161,1,
3640,,-111.9287471,33.4235231,161,1,
3641,,-111.9287144,33.4234668,161,1,
3642,,-111.9286688,33.4234174,161,1,
3643,,-111.9286217,33.4233688,161,1,
3644,,-111.9285604,33.4233366,161,1,
3645,,-111.9284905,33.4233145,161,1,
3646,,-111.9284184,33.4233026,161,1,
3647,,-111.9283437,33.4233029,161,1,
3648,,-111.928269,33.4233032,161,1,
3649,,-111.9281943,33.4233035,161,1,
3650,,-111.9281196,33.4233038,161,1,
3651,,-111.9280448,33.4233041,161,1,
3652,,-111.9279701,33.4233044,161,1,
3653,,-111.9278954,33.4233046,161,1,
3654,,-111.9278207,33.4233049,161,1,
3655,,-111.927746,33.4233052,161,1,
3656,,-111.9276713,33.4233055,161,1,
3657,,-111.9275966,33.4233058,161,1,
3658,,-111.9275969,33.4233689,162,1,
3659,,-111.9276711,33.4233687,162,1,
3660,,-111.9277452,33.4233684,162,1,
3661,,-111.9278193,33.4233681,162,1,
3662,,-111.9278934,33.4233678,162,1,
3663,,-111.9279676,33.4233675,162,1,
3664,,-111.9280417,33.4233672,162,1,
3665,,-111.9281158,33.4233669,162,1,
